보행자작동신호기관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,보행자작동신호기관리번호,이력ID,위치정보,공사형태,MNG_AGEN,XGEO
29-0000001592,02-0000050701,180,20130410,-,209117.70812,549357.31551,대한신호,001,002,000,5285829    ,001,-,29-001592,1785,-,001,-,
29-0000001597,02-0000050797,180,20130430,-,208708.09486,549190.00055,대한신호,001,001,000,5284083    ,001,-,29-001597,1790,-,-,-,
29-0000001606,02-0000135949,180,20130410,-,202669.42897,551755.15165,대한신호,001,001,000,4350903    ,001,-,29-001606,1799,-,-,-,
29-0000001607,02-0000171269,180,20130430,-,202246.65922,550179.70087,대한신호,001,002,000,4256183    ,001,-,29-001607,1800,-,-,-,
29-0000001608,02-0000171271,180,20130430,-,202269.38781,550177.31066,대한신호,001,002,000,4256184    ,001,-,29-001608,1801,-,-,-,
29-0000001626,02-0000169498,180,20140811,-,206702.20877,556792.97601,대한신호,001,002,000,5440003    ,001,-,29-001626,1819,-,-,-,
29-0000001629,02-0000115936,180,20130830,-,207966.82116,556057.63286,-,001,002,001,5368563    ,001,-,29-001629,1822,-,-,-,
29-0000001638,02-0000124093,0  ,20100625,-,201669.93909,557420.90389,대한신호,001,002,000,4431933    ,001,-,29-001638,1831,-,-,-,
29-0000001654,02-0000157706,0  ,20090101,-,202683.13474,558358.1723,(주)태경엔지니어링,001,002,000,4463022    ,001,-,29-001654,1847,-,-,-,
29-0000001126,02-0000150776,180,20130725,-,184677.8021,550675.74052,-,006,001,000,1207083    ,001,2013-0101-021,29-001126,1319,-,003,-,
29-0000001118,02-0000057098,180,20130725,-,190067.14066,548491.90443,-,001,001,000,2203743    ,001,2013-0101-021,29-001118,1311,-,003,-,
29-0000001112,02-0000140357,180,20130723,20130723,186760.04004,546985.87858,-,001,001,000,1240141    ,001,2013-0101-021,29-001112,1305,-,001,-,
29-0000001137,02-0000170923,180,-,-,198336.97074,550307.89319,-,001,002,001,3277312    ,001,-,29-001137,1330,-,006,-,
29-0000001108,02-0000176460,180,-,20130621,186705.34164,551751.65725,-,001,002,001,1340006    ,001,2013-0201-010,29-001108,1301,-,004,-,
29-0000001256,02-0000126543,180,-,-,192396.05615,546580.14027,-,001,002,000,2159462    ,001,-,29-001256,1449,-,001,-,
29-0000001282,02-0000178889,180,20140516,20140516,188160.81025,546527.67368,-,001,001,000,1169955    ,001,-,29-001282,1475,-,003,-,
29-0000001322,02-0000020461,180,-,-,192283.53614,549573.98135,-,001,002,000,2255264    ,001,-,29-001322,1515,-,001,-,
29-0000001326,02-0000160982,180,-,-,206668.01466,562433.56539,-,001,001,000,5531931    ,001,-,29-001326,1519,-,-,-,
29-0000001327,02-0000160981,180,-,-,206690.27458,562421.6162,-,001,001,000,5541031    ,001,-,29-001327,1520,-,-,-,
29-0000001415,02-0000120441,180,20141212,20141212,187937.33433,546222.87238,-,001,001,000,1168591    ,001,-,29-001415,1608,-,001,-,
29-0000001432,02-0000100880,180,20150312,20150312,187901.53487,546399.18141,-,001,001,000,1169421    ,001,-,29-001432,1625,-,001,-,
29-0000001446,02-0000106952,180,-,-,192900.28251,541326.68677,대한신호,001,002,000,2069413    ,001,-,29-001446,1639,-,-,-,
29-0000001452,02-0000023420,180,20100625,-,191442.53336,541621.25483,대한신호,001,001,000,2039572    ,001,-,29-001452,1645,-,-,-,
29-0000001463,02-0000172009,180,-,-,199624.76351,543190.39732,대한신호,001,002,000,3192981    ,001,-,29-001463,1656,-,-,-,
29-0000001635,02-0000180608,180,20120601,-,188200.18317,552969.65579,대한신호,001,001,000,1372044    ,001,-,29-001635,1828,-,003,-,
29-0000001651,02-0000180341,0  ,20090101,-,203168.66119,557650.40846,모루시스템,001,001,000,4461981    ,001,-,29-001651,1844,-,-,-,
29-0000000539,02-0000000415,90 ,-,-,196371.40955,556396.64646,-,006,001,000,-,001,2013-0101-117,29-000539,8,1,003,-,
29-0000001274,02-0000154489,180,-,-,191607.60433,547964.48269,-,001,001,000,2232841    ,001,-,29-001274,1467,-,-,-,
29-0000001340,02-0000037466,180,-,-,203761.26547,546072.94255,-,001,001,001,4188161    ,001,-,29-001340,1533,-,-,-,
29-0000001341,02-0000037465,180,-,-,203745.5163,546061.12458,-,001,001,001,4188162    ,001,-,29-001341,1534,-,-,-,
29-0000001493,02-0000052491,180,-,-,210949.16297,547771.58775,대한신호,001,002,000,6222504    ,001,-,29-001493,1686,-,-,-,
29-0000001497,02-0000168576,180,-,-,215126.15046,551091.86266,대한신호,001,001,001,7208864    ,001,-,29-001497,1690,-,003,-,
29-0000001499,02-0000111646,180,-,-,212295.59753,549066.9636,대한신호,001,001,001,6254261    ,001,-,29-001499,1692,-,-,-,
29-0000001506,02-0000053377,180,-,-,212288.97242,549084.82365,대한신호,001,001,000,6254265    ,001,-,29-001506,1699,-,-,-,
29-0000001509,02-0000171558,180,20130701,-,213094.2926,545063.57311,대한신호,001,001,000,6166861    ,001,-,29-001509,1702,-,-,-,
29-0000001512,02-0000123730,180,20100101,-,212611.48443,546117.37803,대한신호,001,001,000,6158871    ,001,-,29-001512,1705,-,-,-,
29-0000001540,02-0000176666,180,20080101,20080101,185033.3506,543907.70514,삼일신호,001,001,000,1104732    ,001,-,29-001540,1733,-,-,-,
29-0000001545,02-0000097210,180,20080101,20080101,184998.34288,544015.42973,삼일신호,001,001,000,1104651    ,001,-,29-001545,1738,-,-,-,
29-0000001436,02-0000180269,180,-,-,192440.18044,556256.67861,대한신호(주),001,002,001,2359502    ,001,2014-0101-031,29-001436,1629,-,004,-,
29-0000000827,02-0000105379,0  ,-,-,192441.1159,556258.2224,대한,006,001,000,-,001,2014-0101-031,29-000827,737,1,003,-,
29-0000001472,02-0000158395,180,20150206,20150206,195708.74424,555094.61763,대한신호(주),006,002,001,3326062    ,001,2014-0101-071,29-001472,1665,-,001,-,
29-0000001554,02-0000180533,180,20100101,-,189592.43672,553490.86672,대한신호,001,002,000,1393846    ,001,-,29-001554,1747,-,-,-,
29-0000001557,02-0000001726,180,20131023,-,193750.87615,552521.48041,대한신호,001,002,000,2381153    ,001,-,29-001557,1750,-,001,-,
29-0000001565,02-0000008640,180,20110701,-,193668.27599,553415.4672,대한신호,001,002,001,2373933    ,001,-,29-001565,1758,-,-,-,
29-0000001571,02-0000003298,180,20110601,-,193314.07256,553867.30382,대한신호,001,001,001,2374224    ,001,-,29-001571,1764,-,003,-,
29-0000001574,02-0000177187,180,20140202,-,191803.21004,552894.5937,대한신호,001,002,000,2342223    ,001,-,29-001574,1767,-,-,-,
29-0000001587,02-0000173673,180,20110102,-,198318.98696,550581.25865,대한신호,001,002,000,3277262    ,001,-,29-001587,1780,-,001,-,
29-0000001693,02-0000180629,180,20140501,-,203704.33339,565305.83083,대한신호(주),001,001,000,4587012    ,001,-,29-001693,1886,-,-,-,
29-0000001694,02-0000180630,180,20140501,-,203708.62265,565282.07492,대한신호(주),001,001,000,4587002    ,001,-,29-001694,1887,-,-,-,
29-0000001695,02-0000180627,180,20140501,-,203736.90778,565310.74999,대한신호(주),001,001,000,4587112    ,001,-,29-001695,1888,-,-,-,
29-0000001696,02-0000180628,180,20140501,-,203732.52854,565286.8141,대한신호(주),001,001,000,4587102    ,001,-,29-001696,1889,-,-,-,
29-0000001698,02-0000128404,180,20141102,-,202515.93039,561322.8209,대한신호(주),001,001,001,4459611    ,001,-,29-001698,1891,-,003,-,
29-0000001699,02-0000132352,180,20141102,-,202500.02,561310.37961,대한신호(주),001,001,001,4459612    ,001,-,29-001699,1892,-,003,-,
29-0000001700,02-0000158341,180,20140501,-,202759.95527,561271.01044,대한신호(주),001,001,000,4469101    ,001,-,29-001700,1893,-,-,-,
29-0000001701,02-0000158339,180,20140501,-,202755.45792,561252.65266,대한신호(주),001,001,000,4469102    ,001,-,29-001701,1894,-,-,-,
29-0000001702,02-0000078854,180,20100625,-,205896.89235,556259.98647,대한신호(주),001,002,000,5329402    ,001,-,29-001702,1895,-,-,-,
29-0000001703,02-0000078856,180,20100625,-,205870.03197,556259.30409,대한신호(주),001,002,000,5329302    ,001,-,29-001703,1896,-,001,-,
29-0000000084,02-0000156155,90 ,-,-,203625.90626,563505.38643,-,001,002,000,4573851    ,001,2000-0000-000,29-000084,1029,1,-,-,
29-0000000084,02-0000156155,0  ,-,-,203622.66638,563509.58574,-,004,001,000,-,001,2000-0000-000,29-000084,1030,1,-,-,
29-0000000487,02-0000156252,90 ,-,-,201385.66113,557425.22409,-,001,002,000,4431431    ,001,2000-0000-000,29-000487,1031,1,-,-,
29-0000000436,02-0000156255,90 ,-,-,202380.93112,558001.02657,-,001,002,001,4452451    ,001,2000-0000-000,29-000436,1032,1,-,-,
29-0000001675,02-0000160990,0  ,20211028,20211028,204851.55348,562743.52362,대한신호,006,002,001,5501393    ,001,2021-0501-009,29-001675,1868,-,001,-,
29-0000001674,02-0000160987,0  ,20211028,20211028,204844.27223,562764.55375,대한신호,006,002,001,5502304    ,001,2021-0501-009,29-001674,1867,-,001,-,
29-0000002126,02-0000220943,-,20221201,20221201,-,-,(주)대한신호,001,002,001,2205561    ,001,2022-0101-076,29-002126,2319,-,001,-,
29-0000002128,02-0000220963,-,20221201,20221201,-,-,대한신호,001,002,001,2205642    ,001,2022-0101-058,29-002128,2321,-,001,-,
29-0000002129,02-0000220964,-,20221201,20221201,-,-,대한신호,001,002,001,2205644    ,001,2022-0101-058,29-002129,2322,-,001,-,
29-0000000391,02-0000156268,90 ,-,-,202837.07252,559673.46046,-,001,001,000,-,001,2000-0000-000,29-000391,1039,1,-,-,
29-0000001099,02-0000176316,180,20130401,20130401,199360.28965,550030.51217,1,001,001,000,3296351    ,001,-,29-001099,1292,-,-,-,
29-0000000390,02-0000156269,90 ,-,-,202815.85755,559665.82188,-,001,001,000,-,001,2000-0000-000,29-000390,1040,1,-,-,
29-0000002132,02-0000221065,-,-,-,-,-,-,001,002,001,5262201    ,001,-,29-002132,2325,-,001,-,
29-0000000710,02-0000156769,90 ,-,-,191576.37595,546529.41525,-,001,001,000,2139754    ,001,2000-0000-000,29-000710,1045,1,003,-,
29-0000001684,02-0000089539,180,20090901,-,203864.73641,560724.87098,양광시스템,001,002,000,4487393    ,001,-,29-001684,1877,-,001,-,
29-0000001685,02-0000089541,180,20090901,-,203886.81074,560720.07087,양광시스템,001,002,000,4487492    ,001,-,29-001685,1878,-,001,-,
29-0000001686,02-0000169749,180,20080201,-,203280.30385,562905.93349,서돌전자통신,001,002,000,4572232    ,001,-,29-001686,1879,-,001,-,
29-0000001687,02-0000125785,180,20090501,-,203058.97944,559887.3851,서돌전자통신,001,002,000,4466723    ,001,-,29-001687,1880,-,-,-,
29-0000001688,02-0000125784,180,20090501,-,203046.7303,559875.20907,서돌전자통신,001,002,000,4466724    ,001,-,29-001688,1881,-,-,-,
29-0000001689,02-0000087434,180,20101001,-,204230.10542,561001.21812,서돌전자통신,001,002,000,4498152    ,001,-,29-001689,1882,-,-,-,
29-0000001690,02-0000103190,180,20101001,-,204210.04262,560983.21372,서돌전자통신,001,002,000,4498041    ,001,-,29-001690,1883,-,-,-,
29-0000001793,02-0000171558,180,20130701,-,213097.29208,545065.85272,대한신호,001,002,000,6166863    ,001,-,29-001793,1986,-,-,-,
29-0000001818,02-0000136941,180,20100625,-,201715.46375,557813.65725,대한신호,001,002,000,4442012    ,001,-,29-001818,2011,-,-,-,
29-0000001819,02-0000136550,180,20100625,-,201719.26747,557793.10703,-,001,002,000,4442002    ,001,-,29-001819,2012,-,001,-,
29-0000001785,02-0000006047,180,20151103,20151103,197086.2331,551808.73859,대한신호,006,001,000,3340812    ,001,2015-0201-048,29-001785,1978,-,001,-,
29-0000001784,02-0000095393,180,20151103,20151103,197068.23406,551827.98287,대한신호,001,001,000,3340811    ,001,2015-0201-048,29-001784,1977,-,001,-,
29-0000001621,02-0000180594,180,20140806,20140806,203736.54785,565288.73377,대한신호(주),001,002,000,4587101    ,001,2014-0101-036,29-001621,1814,-,001,-,
29-0000000968,02-0000127579,0  ,20150617,20150617,189207.62093,546819.39464,대한신호,006,002,000,1290011    ,001,2015-0101-047,29-000968,859,1,004,-,
29-0000000971,02-0000057569,0  ,20150617,20150617,189225.11006,546801.8947,㈜양광시스템,006,002,000,-,001,2015-0101-047,29-000971,323,1,004,-,
29-0000001865,02-0000038895,180,20150922,20150922,205276.60471,546055.56054,대한신호,006,001,000,5118162    ,001,2009-1101-151,29-001865,2058,-,002,-,
29-0000001872,02-0000038565,180,20150922,20150922,205478.97989,546133.75709,대한신호,006,001,000,5118671    ,001,2009-1101-151,29-001872,2065,-,002,-,
29-0000001868,02-0000098769,180,20150922,20150922,205341.32983,546046.83392,대한신호,006,001,000,5118352    ,001,2009-1101-151,29-001868,2061,-,002,-,
29-0000001862,02-0000039051,180,20150922,20150922,205303.36011,546146.92107,대한신호,006,001,000,5118272    ,001,2009-1101-151,29-001862,2055,-,002,-,
29-0000001858,02-0000038940,180,20150920,20150920,204733.28571,545976.7866,대한신호,006,001,000,5108141    ,001,2009-1101-151,29-001858,2051,-,002,-,
29-0000001855,02-0000038928,180,20150920,20150920,204709.11736,545927.49383,대한신호,006,001,000,5108032    ,001,2009-1101-151,29-001855,2048,-,002,-,
29-0000001880,02-0000182909,180,20160531,20160531,202746.93189,558249.99217,대한신호,006,002,000,4463102    ,001,2016-0101-047,29-001880,2073,-,001,-,
29-0000001879,02-0000088886,180,20160531,20160531,202735.23577,558250.2265,대한신호,006,002,000,4462191    ,001,2016-0101-047,29-001879,2072,-,001,-,
29-0000001744,02-0000090250,180,20140917,20160531,202663.95491,559517.096,대한신호,006,002,001,4455951    ,001,2016-0101-048,29-001744,1937,-,004,-,
29-0000001876,02-0000182907,180,20160531,20160531,201589.70852,558875.7548,대한신호,006,001,001,4434821    ,001,2016-0101-046,29-001876,2069,-,001,-,
29-0000001877,02-0000139328,180,20160531,20160531,201591.94501,558844.67265,대한신호,006,001,001,4434811    ,001,2016-0101-046,29-001877,2070,-,001,-,
29-0000001878,02-0000155982,180,20160531,20160531,201577.29628,558845.10757,대한신호,006,001,001,4434812    ,001,2016-0101-046,29-001878,2071,-,001,-,
29-0000001764,02-0000134312,180,20141130,20141130,188302.89206,544450.51986,관급,006,001,000,1175241    ,001,2014-0201-055,29-001764,1957,-,004,-,
29-0000001232,02-0000160954,180,20130910,20130910,205202.79491,554413.08991,대한신호(주),006,001,000,5315031    ,001,2013-0101-071,29-001232,1425,-,001,-,
29-0000000970,02-0000057568,0  ,20150617,20151120,189213.75844,546804.71725,대한신호,006,002,000,-,001,2015-0101-117,29-000970,322,1,002,-,
29-0000001285,02-0000070396,180,20140519,20151120,188914.96767,547721.18705,대한신호,006,001,000,1281496    ,001,2015-0101-117,29-001285,1478,-,003,-,
29-0000001840,02-0000060815,180,20151109,20151109,191376.25726,547269.95095,대한신호,001,001,000,2231401    ,001,2015-0201-081,29-001840,2033,-,001,-,
29-0000001496,02-0000111137,180,20160625,20160625,211324.52588,547556.566,대한신호,001,002,001,6231265    ,001,2016-0212-004,29-001496,1689,-,004,-,
29-0000001239,02-0000135949,180,20130410,20130410,202669.78891,551756.11149,대한신호,006,001,001,4350901    ,001,2013-0111-004,29-001239,1432,-,001,-,
29-0000001237,02-0000050702,180,20130410,20130410,209093.64102,549383.74096,대한신호,006,001,001,5285821    ,001,2013-0111-004,29-001237,1430,-,001,-,
29-0000001754,02-0000129124,180,-,-,204987.49384,551587.83107,-,001,001,000,5209661    ,001,-,29-001754,1947,-,-,-,
29-0000001783,02-0000006045,180,20151103,20151103,197059.40227,551846.74642,대한신호,006,001,000,3340712    ,001,2015-0201-048,29-001783,1976,-,001,-,
29-0000001775,02-0000181332,180,20151020,20151020,208694.96123,544776.27586,대한신호㈜,001,001,001,5186001    ,001,2015-0201-065,29-001775,1968,-,001,-,
29-0000001372,02-0000131590,180,20120319,20140519,191405.17479,544994.90931,진우산전(주),006,001,000,2136441    ,001,2014-0201-078,29-001372,1565,-,004,-,
29-0000001371,02-0000029000,180,20141121,20141121,191374.78627,545103.96117,진우산전(주),006,001,000,2136371    ,001,2014-0201-078,29-001371,1564,-,001,-,
29-0000001368,02-0000108050,180,20120319,20140623,191272.01833,545233.23704,진우산전(주),006,001,000,2136191    ,001,2014-0201-078,29-001368,1561,-,004,-,
29-0000000007,02-0000162103,0  ,-,-,200132.18995,547063.85954,-,001,001,000,-,001,2000-0000-000,29-000007,1166,1,-,-,
29-0000000006,02-0000162103,0  ,-,-,200130.99015,547066.61906,-,001,001,000,-,001,2000-0000-000,29-000006,1167,1,-,-,
29-0000000005,02-0000162103,0  ,-,-,200129.19072,547067.93824,-,002,001,000,-,001,2000-0000-000,29-000005,1168,1,-,-,
29-0000000004,02-0000162103,0  ,-,-,200129.19072,547067.93824,-,002,001,000,-,001,2000-0000-000,29-000004,1169,1,-,-,
29-0000000009,02-0000162104,0  ,-,-,192857.2553,549271.00736,-,001,001,000,-,001,2000-0000-000,29-000009,1170,1,-,-,
29-0000000008,02-0000162104,0  ,-,-,192857.2553,549271.00736,-,001,001,000,-,001,2000-0000-000,29-000008,1171,1,-,-,
29-0000000013,02-0000162105,0  ,-,-,190934.63327,549168.58356,-,002,001,000,-,001,2000-0000-000,29-000013,1173,1,-,-,
29-0000000013,02-0000162105,0  ,-,-,190934.63327,549168.58356,-,002,001,000,-,001,2000-0000-000,29-000013,1174,1,-,-,
29-0000000012,02-0000162105,0  ,-,-,190934.63327,549168.58356,-,002,001,000,-,001,2000-0000-000,29-000012,1175,1,-,-,
29-0000000010,02-0000162105,0  ,-,-,190934.63327,549168.58356,-,002,001,000,-,001,2000-0000-000,29-000010,1176,1,-,-,
29-0000000011,02-0000162105,0  ,-,-,190934.63327,549168.58356,-,002,001,000,-,001,2000-0000-000,29-000011,1177,1,-,-,
29-0000000010,02-0000162105,0  ,-,-,190934.63327,549168.58356,-,002,001,000,-,001,2000-0000-000,29-000010,1178,1,-,-,
29-0000000014,02-0000162138,0  ,-,-,194753.02407,548944.17258,-,003,001,000,-,001,2011-0406-001,29-000014,1180,1,-,-,
29-0000000017,02-0000162139,0  ,-,-,198997.37926,545120.58055,-,002,001,000,-,001,2011-0406-001,29-000017,1181,1,-,-,
29-0000000015,02-0000162140,0  ,-,-,198939.26013,545101.45549,-,002,001,000,-,001,2011-0406-001,29-000015,1182,1,-,-,
29-0000000016,02-0000162140,0  ,-,-,198939.26013,545101.45549,-,002,001,001,-,001,2011-0406-001,29-000016,1183,1,-,-,
29-0000000018,02-0000162141,0  ,-,-,199019.858,545132.08998,0,003,001,000,-,001,2011-0406-001,29-000018,1184,1,-,-,
29-0000000019,02-0000162141,180,-,-,199019.8576,545132.0907,0,001,001,000,-,001,2011-0406-001,29-000019,1185,1,-,-,
29-0000000021,02-0000162142,0  ,-,-,199012.74642,545126.80188,0,003,001,000,-,001,2011-0406-001,29-000021,1186,1,-,-,
29-0000000020,02-0000162142,0  ,-,-,199012.74642,545126.80188,0,001,001,000,-,001,2011-0406-001,29-000020,1187,1,-,-,
29-0000000022,02-0000162143,0  ,-,-,199012.74642,545126.80188,-,001,001,000,-,001,2000-0000-000,29-000022,1188,1,-,-,
29-0000000023,02-0000162144,0  ,-,-,198989.22351,545116.22569,0,003,001,000,-,001,2011-0406-001,29-000023,1189,1,-,-,
29-0000000025,02-0000162146,0  ,-,-,199379.08382,545302.58548,0,003,001,000,-,001,2011-0406-001,29-000025,1190,1,-,-,
29-0000000024,02-0000162146,0  ,-,-,199379.08382,545302.58548,0,001,001,000,-,001,2011-0406-001,29-000024,1191,1,-,-,
29-0000000026,02-0000162147,0  ,-,-,199344.43768,545280.88605,0,003,001,000,-,001,2011-0406-001,29-000026,1192,1,-,-,
29-0000001111,02-0000176478,0  ,20130315,20130315,201796.72352,540163.64628,-,001,001,001,4046282    ,001,2013-1101-008,29-001111,1304,-,003,-,
29-0000000727,02-0000059482,90 ,20130321,20130321,188547.57282,547640.19724,대한신호,006,001,000,1271772    ,001,2013-0101-053,29-000727,338,1,003,-,
29-0000001133,02-0000147639,180,20130825,-,186413.84626,545650.57841,-,006,001,001,1137481    ,001,2013-0101-066,29-001133,1326,-,001,-,
29-0000001127,02-0000150775,180,20130725,-,184673.65156,550664.11377,-,006,001,000,02979810   ,001,2013-0101-021,29-001127,1320,-,003,-,
29-0000001119,02-0000057392,180,20130725,-,190091.43648,548507.73983,-,001,001,000,2203853    ,001,2013-0101-021,29-001119,1312,-,003,-,
29-0000001117,02-0000056353,180,20130725,20130725,190102.21587,548357.56692,-,001,001,000,2203823    ,001,2013-0101-021,29-001117,1310,-,003,-,
29-0000001116,02-0000056361,180,20130725,20130725,190133.37301,548363.52465,-,001,001,000,2203923    ,001,2013-0101-021,29-001116,1309,-,003,-,
29-0000000236,02-0000061218,90 ,20131025,20131025,197440.01071,548848.65929,대한신호,001,002,001,3254523    ,001,2013-0201-029,29-000236,344,1,002,-,
29-0000001151,02-0000172767,180,-,-,191508.37765,544261.8092,-,001,002,000,2135602    ,001,-,29-001151,1344,-,-,-,
29-0000001148,02-0000177297,180,20131115,20131115,192320.77661,554862.96374,-,006,002,001,2356222    ,001,2013-0101-023,29-001148,1341,-,004,-,
29-0000001157,02-0000131678,180,-,-,194694.15196,544820.74428,-,001,002,000,3106014    ,001,-,29-001157,1350,-,-,-,
29-0000001162,02-0000030622,180,-,-,196561.07195,545137.65099,-,001,001,000,3136772    ,001,-,29-001162,1355,-,-,-,
29-0000001165,02-0000015471,180,-,-,189790.97818,549109.26382,-,001,001,-,2204271    ,-,-,29-001165,1358,-,-,-,
29-0000001167,02-0000015472,180,-,-,189844.66706,548954.67042,-,001,001,-,2204341    ,-,-,29-001167,1360,-,-,-,
29-0000001174,02-0000119936,180,-,-,188878.23243,547506.03407,-,001,001,000,1281453    ,-,-,29-001174,1367,-,003,-,
29-0000001176,02-0000155010,180,-,-,183781.34167,551999.08468,-,001,001,-,0380251    ,-,-,29-001176,1369,-,-,-,
29-0000001177,02-0000155012,180,-,-,183816.40189,552032.30396,-,001,001,-,0380252    ,-,-,29-001177,1370,-,-,-,
29-0000001180,02-0000176456,180,-,-,186775.69454,551916.4189,-,001,002,001,1340131    ,001,-,29-001180,1373,-,-,-,
29-0000001923,02-0000194406,180,20170801,20191020,209565.80102,541077.63025,대한신호,001,002,001,5098765    ,001,2017-0201-128,29-001923,2116,-,004,-,
29-0000001260,02-0000104735,180,20140123,20140123,194812.7328,556822.5378,대한신호(주),001,002,001,3400212    ,001,2013-0101-149,29-001260,1453,-,001,-,
29-0000000201,02-0000105757,90 ,20130716,20130716,190760.27451,551941.62019,-,001,002,001,2320131    ,001,2013-0101-099,29-000201,740,1,001,-,
29-0000001235,02-0000178261,180,20130716,20130716,190606.08604,552053.64904,-,006,001,000,2310861    ,001,2013-0101-099,29-001235,1428,-,001,-,
29-0000001276,02-0000118959,0  ,-,-,189601.59545,544531.98396,-,001,001,000,1195851    ,001,-,29-001276,1469,-,-,-,
29-0000001277,02-0000028071,0  ,-,-,189618.34195,544557.24524,-,001,001,000,1195861    ,001,-,29-001277,1470,-,-,-,
29-0000001278,02-0000142865,180,20140516,20140516,188497.60636,547473.82149,-,001,001,000,1271649    ,001,-,29-001278,1471,-,003,-,
29-0000001280,02-0000176653,180,20140516,20140516,188522.76922,547465.76413,-,001,001,000,12716410   ,001,-,29-001280,1473,-,003,-,
29-0000001283,02-0000056285,180,20140516,20140516,187773.61907,546362.84829,-,001,001,000,1169121    ,001,-,29-001283,1476,-,006,-,
29-0000001286,02-0000070397,180,20140519,20140519,188898.36646,547726.91044,-,001,001,000,1281495    ,001,-,29-001286,1479,-,003,-,
29-0000001294,02-0000161622,180,-,-,201517.11351,561448.54239,-,001,002,000,4439631    ,001,-,29-001294,1487,-,-,-,
29-0000001295,02-0000161621,180,-,-,201527.47298,561459.06215,-,001,002,000,4439741    ,001,-,29-001295,1488,-,-,-,
29-0000001315,02-0000069969,180,20131231,20131231,196023.90376,548104.53046,대한신호,006,002,001,3222672    ,001,2013-0101-148,29-001315,1508,-,001,-,
29-0000001314,02-0000069970,180,20131231,20131231,196048.5164,548066.04146,대한신호,006,002,001,3222764    ,001,2013-0101-148,29-001314,1507,-,001,-,
29-0000001313,02-0000069973,180,20131231,20131231,196043.94781,548053.33115,대한신호,006,002,001,3222763    ,001,2013-0101-148,29-001313,1506,-,001,-,
29-0000001312,02-0000114067,180,20131231,20131231,196070.84006,548030.8069,대한신호,006,002,001,3222752    ,001,2013-0101-148,29-001312,1505,-,001,-,
29-0000001310,02-0000162673,180,20131231,20131231,197908.94064,550516.53541,대한신호,006,002,000,3267459    ,001,2013-0101-148,29-001310,1503,-,001,-,
29-0000001309,02-0000162675,180,20131231,20131231,197936.70086,550511.27132,대한신호,006,002,000,3267552    ,001,2013-0101-148,29-001309,1502,-,001,-,
29-0000001308,02-0000162672,180,20131231,20131231,197914.39595,550503.95633,대한신호,006,002,000,3267458    ,001,2013-0101-148,29-001308,1501,-,001,-,
29-0000001307,02-0000173625,180,20131231,20131231,197604.9767,551121.02514,대한신호,006,002,000,3258872    ,001,2013-0101-148,29-001307,1500,-,001,-,
29-0000001306,02-0000173624,180,20131231,20131231,197612.00674,551140.58365,대한신호,001,002,000,3258873    ,001,2013-0101-148,29-001306,1499,-,001,-,
29-0000001303,02-0000158876,180,20131231,20131231,196835.23228,550364.84401,대한신호,006,001,000,3247321    ,001,2013-0101-148,29-001303,1496,-,001,-,
29-0000001300,02-0000158877,180,20131231,20131231,196822.8744,550387.58573,대한신호,006,001,000,3247221    ,001,2013-0101-148,29-001300,1493,-,001,-,
29-0000001175,02-0000155011,180,-,-,183816.40095,551993.87495,-,001,001,-,0380241    ,-,-,29-001175,1368,-,-,-,
29-0000000280,02-0000134212,90 ,20140205,20140205,193321.00137,556151.15489,대한신호(주),001,001,000,-,001,2013-0101-149,29-000280,895,1,003,-,
29-0000001236,02-0000178262,180,20130716,20130716,190601.1069,551991.01981,-,006,001,000,2310841    ,001,2013-0101-099,29-001236,1429,-,001,-,
29-0000001271,02-0000118402,180,-,-,192106.82342,547086.4569,-,001,001,000,2240866    ,001,-,29-001271,1464,-,003,-,
29-0000001299,02-0000123992,180,20131231,20131231,192532.09962,553986.88575,대한신호,006,002,001,2354742    ,001,2013-0101-148,29-001299,1492,-,001,-,
29-0000001298,02-0000008110,180,20131231,20131231,192506.649,553988.77542,대한신호,006,002,001,2354642    ,001,2013-0101-148,29-001298,1491,-,001,-,
29-0000001317,02-0000006852,180,20140113,20140113,192160.25736,553028.47942,한길에스에이치,006,001,001,2342952    ,001,2013-0101-098,29-001317,1510,-,001,-,
29-0000001316,02-0000177072,180,20140113,20140113,192148.98305,553007.04248,한길에스에이치,006,001,001,2342951    ,001,2013-0101-098,29-001316,1509,-,001,-,
29-0000001330,02-0000046351,180,-,-,211491.78835,543098.11445,-,001,001,000,6132661    ,001,-,29-001330,1523,-,-,-,
29-0000001334,02-0000171556,180,20130701,-,212708.82893,545202.64981,-,001,001,000,6166091    ,001,-,29-001334,1527,-,-,-,
29-0000001335,02-0000171555,180,20130701,-,212691.17696,545178.83016,-,001,001,000,6166081    ,001,-,29-001335,1528,-,-,-,
29-0000001338,02-0000179119,180,-,-,207650.58933,540296.44468,-,001,001,000,5057901    ,001,-,29-001338,1531,-,-,-,
29-0000001357,02-0000172836,180,20140814,20140814,209961.71789,549487.53435,-,001,002,000,6205541    ,001,-,29-001357,1550,-,001,-,
29-0000001358,02-0000172837,180,20140814,20140814,210159.01644,549427.37971,-,001,002,000,6205933    ,001,-,29-001358,1551,-,001,-,
