보행자작동신호기관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,보행자작동신호기관리번호,이력ID,위치정보,공사형태,MNG_AGEN,XGEO
29-0000000273,02-0000119502,90 ,-,-,193967.66197,555752.5891,-,001,001,000,2388501    ,001,2000-0000-000,29-000273,827,1,003,-,
29-0000000100,02-0000119855,0  ,-,-,196337.41274,543968.84179,-,004,001,000,-,001,2000-0000-000,29-000100,828,1,-,-,
29-0000000100,02-0000119855,90 ,-,-,196339.33323,543964.8828,-,001,001,000,-,001,2000-0000-000,29-000100,829,1,-,-,
29-0000000102,02-0000119857,0  ,-,-,196392.1247,543958.28584,-,004,001,000,-,001,2000-0000-000,29-000102,830,1,-,-,
29-0000000102,02-0000119857,90 ,-,-,196394.04382,543954.20651,-,001,001,000,-,001,2000-0000-000,29-000102,831,1,-,-,
29-0000000103,02-0000119858,0  ,-,-,196396.58998,543940.61601,-,004,001,000,-,001,2000-0000-000,29-000103,832,1,-,-,
29-0000000103,02-0000119858,90 ,-,-,196395.56981,543937.01572,-,001,001,000,-,001,2000-0000-000,29-000103,833,1,-,-,
29-0000000606,02-0000120394,90 ,-,-,206861.93441,550509.99666,-,001,001,000,-,001,2000-0000-000,29-000606,834,1,-,-,
29-0000000606,02-0000120394,90 ,-,-,206861.93441,550509.99666,-,002,001,000,-,001,2000-0000-000,29-000606,835,1,-,-,
29-0000000741,02-0000120440,90 ,-,-,187949.95216,546226.97167,-,001,001,000,-,001,2000-0000-000,29-000741,837,1,-,-,
29-0000000740,02-0000120444,90 ,-,-,187944.85866,546243.80627,-,001,001,000,-,001,2000-0000-000,29-000740,838,1,-,-,
29-0000000153,02-0000120662,90 ,-,-,212861.27294,546905.99506,-,001,001,000,-,001,2000-0000-000,29-000153,839,1,-,-,
29-0000000154,02-0000120663,270,-,-,212883.87294,546906.46453,-,001,001,000,-,001,2000-0000-000,29-000154,840,1,-,-,
29-0000000451,02-0000124096,90 ,-,-,201593.2794,557474.66603,-,001,001,000,-,001,2000-0000-000,29-000451,841,1,-,-,
29-0000000456,02-0000124107,90 ,-,-,201494.76173,557396.04286,-,001,002,001,4431622    ,001,2000-0000-000,29-000456,843,1,-,-,
29-0000000458,02-0000124108,90 ,-,-,201520.47106,557397.69445,-,001,002,000,-,001,2000-0000-000,29-000458,844,1,-,-,
29-0000000455,02-0000124109,90 ,-,-,201503.37587,557411.66267,-,001,002,001,4431631    ,001,2000-0000-000,29-000455,845,1,-,-,
29-0000000457,02-0000124110,90 ,-,-,201513.42039,557412.9965,-,001,002,000,4431632    ,001,2000-0000-000,29-000457,846,1,001,-,
29-0000000958,02-0000124129,90 ,-,-,204647.04608,553956.33606,.,003,001,000,-,001,2011-0101-084,29-000958,848,1,-,-,
29-0000000648,02-0000124129,90 ,-,-,204647.04608,553956.33606,-,001,001,000,-,001,2000-0000-000,29-000648,849,1,-,-,
29-0000000649,02-0000124130,90 ,-,-,204626.40596,553939.92995,-,001,001,000,-,001,2000-0000-000,29-000649,850,1,-,-,
29-0000000959,02-0000124130,90 ,-,-,204626.40596,553939.92995,.,001,001,000,-,001,2011-0101-084,29-000959,851,1,-,-,
29-0000000101,02-0000126595,90 ,-,-,196337.76038,543948.3294,-,001,001,000,-,001,2000-0000-000,29-000101,854,1,-,-,
29-0000000101,02-0000126595,0  ,-,-,196341.60026,543952.16885,-,004,001,000,-,001,2000-0000-000,29-000101,855,1,-,-,
29-0000000502,02-0000127462,90 ,-,-,197462.13003,552268.84326,-,001,001,000,-,001,2000-0000-000,29-000502,856,1,-,-,
29-0000000755,02-0000127571,90 ,-,-,184938.60628,544146.44531,-,001,002,000,1104572    ,001,2000-0000-000,29-000755,858,1,001,-,
29-0000000196,02-0000006417,270,-,-,194494.77722,550246.18496,-,001,001,000,-,001,2000-0000-000,29-000196,65,1,-,-,
29-0000000600,02-0000015679,90 ,-,-,203160.6282,554120.6496,-,001,002,000,4364971    ,001,2000-0000-000,29-000600,151,1,001,-,
29-0000000696,02-0000016837,90 ,-,-,183176.56511,552992.22878,-,001,002,001,0362942    ,001,2000-0000-000,29-000696,159,1,001,-,
29-0000000339,02-0000031673,90 ,-,-,195641.49207,545029.34713,-,001,002,000,3116951    ,001,2000-0000-000,29-000339,222,1,-,-,
29-0000000151,02-0000035681,90 ,20010101,-,203005.35429,543693.44638,-,001,002,000,4163681    ,001,2000-0000-000,29-000151,231,1,-,-,
29-0000000157,02-0000045667,90 ,-,-,213303.3668,548266.84807,-,001,001,000,6273201    ,001,2000-0000-000,29-000157,240,1,003,-,
29-0000000053,02-0000158344,90 ,-,-,202905.40774,561287.49917,-,001,001,000,-,001,2000-0000-000,29-000053,1084,1,-,-,
29-0000000529,02-0000158610,90 ,-,-,207333.21019,563634.24332,-,001,001,000,5553372    ,001,2000-0000-000,29-000529,1096,1,003,-,
29-0000000005,02-0000162103,0  ,-,-,200129.19072,547067.93824,-,002,001,001,-,001,2000-0000-000,29-000005,1165,1,-,-,
29-0000000012,02-0000162105,0  ,-,-,190934.63327,549168.58356,-,002,001,000,-,001,2000-0000-000,29-000012,1172,1,-,-,
29-0000000011,02-0000162105,0  ,-,-,190934.63327,549168.58356,-,002,001,000,-,001,2000-0000-000,29-000011,1179,1,-,-,
29-0000000275,02-0000163354,90 ,-,-,194163.02398,555705.09883,-,001,001,000,2387992    ,001,2000-0000-000,29-000275,1212,1,003,-,
29-0000000778,02-0000167116,0  ,-,-,199172.29789,551323.86897,-,001,001,000,-,001,2000-0000-000,29-000778,1224,1,-,-,
29-0000000996,02-0000173383,225,-,-,201363.23166,552983.79133,-,001,002,000,4332341    ,001,2000-0000-000,29-000996,1262,1,-,-,
29-0000000132,02-0000157318,0  ,-,-,206934.31954,552061.5845,1,002,001,000,-,001,2011-0101-010,29-000132,1070,1,-,-,
29-0000000916,02-0000170009,0  ,-,-,208624.99193,556489.70345,-,001,001,000,-,001,2011-0101-082,29-000916,1239,1,-,-,
29-0000000848,02-0000103150,180,-,-,204176.711,564501.92018,대한신호,001,002,000,4585941    ,001,2011-0101-107,29-000848,721,1,001,-,
29-0000000873,02-0000080250,90 ,-,-,207057.53485,552756.64403,대한신호,002,001,000,-,001,2012-0101-012,29-000873,510,1,-,-,
29-0000000887,02-0000160968,90 ,-,-,205760.37938,552356.73518,대한신호,002,001,000,-,001,2012-0101-012,29-000887,1123,1,-,-,
29-0000000906,02-0000154836,0  ,-,-,210731.04426,547488.19652,대한신호,001,002,000,-,001,2011-0101-103,29-000906,1000,1,-,-,
29-0000001021,02-0000062721,315,20170520,20180810,184988.6283,552576.12538,대한신호,001,001,000,1301662    ,001,2016-0201-193,29-001021,351,1,003,-,
29-0000001015,02-0000000030,315,-,-,197694.00138,550450.82047,대한신호,001,002,001,3267041    ,001,2012-0101-006,29-001015,3,1,-,-,
29-0000001040,02-0000117327,90 ,-,-,201594.49009,558600.64063,.,002,001,000,-,001,2012-0101-091,29-001040,807,1,-,-,
29-0000001058,02-0000120394,90 ,-,-,206861.93441,550509.99666,.,002,001,000,-,001,2012-0101-112,29-001058,836,1,-,-,
29-0000001064,02-0000050216,90 ,-,-,206777.83936,550295.15259,.,002,001,000,-,001,2012-0101-112,29-001064,263,1,-,-,
29-0000001092,02-0000009634,90 ,-,-,198742.67717,550794.67193,대한신호,001,002,001,3288101    ,001,2012-0101-111,29-001092,103,1,-,-,
29-0000001087,02-0000139703,90 ,-,-,197867.46342,550996.25356,.,002,001,000,-,001,2012-0101-111,29-001087,940,1,-,-,
29-0000000950,02-0000079912,90 ,-,-,206522.05977,554275.64231,0,001,001,000,-,001,2011-0101-084,29-000950,496,1,-,-,
29-0000000929,02-0000129123,0  ,-,-,204960.44412,551607.19086,0,001,001,000,-,001,2011-0101-084,29-000929,860,1,-,-,
29-0000000618,02-0000068290,90 ,-,-,206029.1903,553142.69337,-,001,002,000,5322772    ,001,2000-0000-000,29-000618,399,1,001,-,
29-0000000647,02-0000068759,90 ,-,-,205673.63057,552209.97284,-,001,002,001,5310991    ,001,2000-0000-000,29-000647,401,1,-,-,
29-0000000882,02-0000068832,0  ,-,-,206370.02929,552852.09732,대한신호,002,001,000,-,001,2012-0101-012,29-000882,402,1,-,-,
29-0000000883,02-0000068832,90 ,-,-,206370.02929,552852.09732,대한신호,002,001,000,-,001,2012-0101-012,29-000883,403,1,-,-,
29-0000000652,02-0000068883,90 ,-,-,206598.27275,552531.27628,-,001,001,000,-,001,2000-0000-000,29-000652,404,1,-,-,
29-0000000652,02-0000068883,90 ,-,-,206598.27275,552531.27628,-,002,001,000,-,001,2000-0000-000,29-000652,405,1,-,-,
29-0000000033,02-0000069341,90 ,-,-,201362.6978,552994.47429,-,001,001,000,-,001,2000-0000-000,29-000033,406,1,-,-,
29-0000000033,02-0000069341,0  ,-,-,201362.6978,552994.47429,-,004,001,000,-,001,2000-0000-000,29-000033,407,1,-,-,
29-0000000035,02-0000069350,90 ,-,-,201378.47348,552795.14348,-,001,001,000,-,001,2000-0000-000,29-000035,409,1,-,-,
29-0000000035,02-0000069350,0  ,-,-,201378.47348,552795.14348,-,004,001,000,-,001,2000-0000-000,29-000035,410,1,-,-,
